¶ De utilitate Phlebotomiae, et cautelis in ea obseruandis.	On the usefulness of bloodletting, and the precautions to observe in it.
Deinde inuolue super unamquamque pannum duabus inuolutionibus secundum longitudinem eius.	Then wrap each one in cloth with two wrappings according to its length.
Et pone unam partem Cruris a parte una, et alteram a parte altera: et sint ex genu usque inferius pedis.	And place one part of the leg on one side and the other on the opposite side, and they should extend from the knee to the lower part of the foot.
Deinde liga duas fascias in tribus locis ex duabus extremitatibus et medio.	Then bind the two strips at three places, at both ends and in the middle.
Cum enim strictura prohibetur, Crus declinat ad dextram et sinistram, et stat statione bona.	For when the bandage is prevented, the leg leans to the right and left and stays in a good position.
Et iam quidem administretur cunabulum ex ligno secundum longitudinem Cruris, et ponatur in eo Crus, ut conseruet ipsum a motu.	And already a wooden cradle should be prepared according to the length of the leg, and the leg is placed in it to keep it from moving.
Et plurimum quidem oportet, ut facias illud in fractura quando cum ea est uulnus proprie.	And most certainly it is necessary to do this in a fracture when there is indeed a wound with it.
Deinde considera Crus in omni die, et stude cum eo studio ultimo ab apostemate, aut inflatione, aut reliquis aliis.	Then observe the leg every day and diligently guard it from abscess, swelling, or any other conditions.
Si ergo accidit aliquid ex illis, tunc oppone ei cum eo quod oportet, usquequo sanetur, si Deus uoluerit.	If, then, anything of those should happen, then apply to it what is necessary until it heals, if God wills.
De fractura ossium Pedis, et Digitorum.	On the fracture of the bones of the foot and toes.
Caput XVIII.	Chapter XVIII.
Calcaneo quidem non accidit fractura penitus.	A fracture does not at all occur in the heel.
Ossibus uero Pedis accidit quandoque fractura, et Digitis parum etiam accidit fractura: et non accidit eis nisi attritio in pluribus dispositionibus.	But a fracture sometimes occurs in the bones of the foot, and a fracture happens in the toes only rarely, and they generally only suffer abrasion in most conditions.
Quod si accidit ossibus Pedis fractura, et uides illa ossa sublimari super se adinuicem, tunc ponat infirmus Pedem suum super terram praeparatam, sicut ambulans.	If a fracture occurs in the bones of the foot, and you see those bones lifting over each other, then the patient should place his foot on prepared ground, as if walking.
Deinde sta tu, et pone Pedem tuum super illud quod eleuatur ex illis ossibus: postea preme, uel calca eam: et aequa ipsam, donec redeat in locis suis.	Then stand, and place your foot over the elevated part of those bones; afterward, press down or tread upon it, and align it until it returns to its proper place.
Deinde pone emplastrum, et stuppam desuper: et pone sub uentre Pedis tabulam paruam, cui sint duo capita plana.	Then place a plaster and tow on top, and put a small board under the arch of the foot, with two flat ends.
Deinde stringe eam cum Pede strictura decenti, postquam tu inuoluis eam cum pannis, et reliquis quibus indiget.	Then bind it with a suitable bandage around the foot, after wrapping it with cloth and other things needed.
Cum ergo praetereunt ei tres dies, aut quatuor, tunc solue ligamentum.	After three or four days have passed, then release the bandage.
Nam tu inuenies ossa aequata, siue sint fracta, aut sint dislocata.	For you will find the bones aligned, whether fractured or dislocated.
Operatio ergo in eis est, sicut uides.	Thus, the procedure for them is as you see.
Si autem franguntur aliqui digiti, tunc restaura eos, et aequa ipsos secundum quod narraui tibi in restauratione digitorum manus.	If some toes are broken, then restore and align them as I have described to you for the restoration of the fingers of the hand.
Deinde pone digito tuo astellam secundum longitudinem digiti, et sit latior eo parumper: deinde pone sub Pede hanc tabulam quam narraui tibi, et stringe eam strictura decenti.	Then place a splint along the length of the toe, slightly wider than it, and then put under the foot the board I mentioned, and bind it with a suitable bandage.
Si uero quod frangitur ex ossibus est duo, aut tria, aut plus, tunc pone super omnem digitum astellam suae quantitatis, inuolutam in panno lini: et stringe tabulam in inferiori Pedis: et sit stans super unum capitum tabulae extra uentrem Pedis, ut teneat retentione bona.	If, however, two, three, or more bones are broken, then place a splint over each toe, of its respective size, wrapped in linen cloth, and bind the board to the bottom of the foot, standing on one end of the board outside the arch of the foot, so that it holds with good support.
Et conuenit tibi, ut non obliuiscaris, quin consideres omnia quae dixi tibi in reliquis fracturis ex accidentibus quae diximus: et oppone omni accidenti cum eo quod oportet.	And it is suitable for you not to forget but to consider everything I have told you in the other fractures regarding the injuries we have described, and apply what is appropriate for each incident.
¶ De fractura Vuluae mulieris, et ossis pectinis, et uirgae uiri.	On the fracture of the woman’s vulva, the pubic bone, and the man’s member.
Caput XIX.	Chapter XIX.
Quando frangitur Vulua mulieris, tunc fac eam sedere quadratam.	When a woman’s vulva is fractured, have her sit in a square position.
Deinde inclina eam ad partem dorsi ipsius parumper, et teneatur retro.	Then tilt her back slightly, and let her be held from behind.
Deinde impleat obstetrix Vuluam eius coto, donec impleat eam: et fiat in Vulua ex eo sicut sphera.	Then let the midwife fill her vulva with cotton until it is full, and let it become spherical within the vulva.
Deinde concutiatur mulier, et eleua dorsum eius paulatim.	Then shake the woman, and slowly lift her back.
Illud enim cotum egreditur, donec fiat ante portam Vuluae sicut sphera, et os fractum redit.	For the cotton will come out until it is at the entrance of the vulva like a sphere, and the broken bone will return.
Deinde pone puluillum super dorsum eius.	Then place a cushion under her back.
Quando ergo uult mingere, remoueat cotum cum facilitate, deinde mingat: et reduc ipsum secundum modum, quo intromisisti ipsum in primis: deinde redeat ad puluillum suum primum.	When she wishes to urinate, remove the cotton with ease, then let her urinate; then replace it as you first inserted it, and let her return to her original cushion.
Faciat illud septem diebus, aut circiter, os ipsum enim restauratur.	Let her do this for seven days, or about that, for the bone itself will be restored.
Et si uis, accipe uesicam ouis, et stringe super foramen eius cannulam arundinis, et intromitte uesicam totam in Vuluam eius.	And if you wish, take an eggshell bladder, and bind a reed tube over its opening, and insert the whole bladder into her vulva.
Deinde suffla in cannulam cum uirtute, donec infletur uesica intra Vuluam, fractura enim redit.	Then blow forcefully into the tube until the bladder inflates inside the vulva, for the fracture will return.
Deinde impleatur cum coto, et stet aliquot diebus, secundum quod narrauimus, donec sanetur.	Then fill it with cotton, and let it remain for a few days, as we have described, until it heals.
Et quando frangitur os Pectinis uiri, aut mulieris, tunc administra in restauratione eius, et ipsius aequatione illud quod narrauimus in osse Anchae.	And when the pubic bone of a man or woman is broken, then administer its restoration and alignment as we have described for the hip bone.
Et non occultatur rectum in his fracturis propinquis, quae parum contingunt, praecipue cui est quiddam studii, uel usus.	And it is not hidden that in these close fractures, which rarely occur, especially for someone with some study or practice.
