Praefatio.	This is an introduction to a medieval Latin textbook on
Multotiens enim faciunt accidere per operationem illam suam apostema calidum, aut contractionem in membro: sicut iam uidimus illud ex operationibus eorum multotiens.	Indeed many times it happens by that very same manner of treating their case through a hot or burning operation (calidos apostema), or contraction within the member itself ('membro'): as I have already observed in those practices among them frequently and often.
Deinde annecte post aequationem, et decentem operationem, et stricturam illius membri, et quietem, et tranquillitatem: et mone infirmum super ipsum.	Thereafter attach after the bandaging (annectere post aequationem), and gently execute the treatment of that member again while maintaining its lengthening (decentem operationem) and keeping it stretched, as well as quietude: and reassure him who is ill.
Et fac ipsum cauere, ne moueat ipsum in hora suarum uigiliarum, et somni sui apud reuolutionem suam, et agitationem suam, et apud egestionem suam, et omnes motus suos ultima uirtute sua.	And make it heal itself, lest anything harm its skin during the hours of sleep and dreams, and restlessness in my body, through evacuation from within myself as well. And all these movements are last resort for self-healing.
Et ut caueat, ne sit positio membri positio cum qua sequatur dolor.	And let it heal itself, so that nothing may position the member in painful placement afterward.
Quod est, quia quando sentit in dispositione positionis membri dolorem, aut laesionem: tunc oportet, ut permutes ipsum ad dispositionem aliam ab illa cum qua non sentiat dolorem.	Because when it feels pain or injury due to the member's discomforting position in displacement, then at that moment it must change itself into a different comfortable arrangement of the same limb with which it does not feel such harmful sensation anymore. This is essential for healing and recovery after any surgical procedure as per Albucasis’ teachings on self-repair within his medical textbook on surgery, written in 10th century Arabic but translated into medieval Latin during the period of
Et caue cum illo, ut sit positio eius illa aequalis, recta: ut non accidat in membro tortuositas, quando restauratur.	And that it heals itself accordingly so as to maintain an equal and straight position of the limb for which no twists occur when restored or repaired after being injured. As detailed by Albucasis' methods within his surgical textbook based on Arabic medical knowledge, this is a crucial principle in ensuring proper recovery post-surgery without complications such as malalignment
Et qualitas stricturae membri fracti est, secundum quod narro.	And the quality of limb narrowing due to a fracture is justly described in this manner according to Albucasis' observations and methods as documented within his surgical textbook on Arabic medicine principles from which
Scias, quod membra fracta diuersificantur in paruitate sua, et eorum magnitudine, et ipsorum forma.	And thus the limbs with a fracture differ greatly and accordingly for their size and shape as well when viewed or compared to each other by oneself, which Albucasis notes are important factors in determining appropriate surgical interventions based on his extensive experience compiled within this ancient text.
Quae ergo ex eis sunt parua, sicut brachium, et digitus, et focile, et similia eis, tunc oportet, ut sit inuolutio panni mollis, subtilis.	And from them are thus the elbow and hand bones as well as fingers and toes which then should be surrounded by a light cloth of fine texture for protection during healing or recovery after an injury or surgery based on Albucasis' teachings in his medieval Latin translation. This guidance emphasizes not just physical care but also comfort, indicative of the holistic approach towards patient treatment that was valued at the time and is still recognized as beneficial today.
Quae autem ex eis sunt grossa, sicut coxa, et crus, oportet ut sit in eis inuolutio lata, dura.	And yet those are also the thigh bone and leg which then should be encased firmly with a hard covering for support once healed as stated by Albucasis within his surgical textbook on Arabic medicine translated to Latin in medieval times highlighting distinct treatment methodologies based on anatomy. This approach is consistent throughout historical medical literature demonstrating respect for the individual needs of different body
Quoniam ligamentum latum, connectit membrum magnum, et stringit ipsum ab omni parte strictura aequali, ita quod non ingreditur ipsum macula.	Because the long tendon is connected to and tightens by this thick ligament from all sides equally, thus that spot does not appear.
Deinde incipe post euacuationem tuam ab aequatione ponere linimentum conueniens ad illud, in stuppa leni super locum fracturae ipsius.	Therefore begin after your preparation of an ointment suitable for this equation to apply it on the cloth placed over the spot where the bone is broken.
Deinde incipe inuoluere ligamentum super locum fracturae ipsius tribus inuolutionibus, aut quatuor, secundum quod meretur membrum: et stringe manum tuam parumper cum ligamento.	Therefore begin to suck the three or four times into that spot of the fracture where it is necessary with this thin band and draw your hand tightly as far as possible by means of such a small piece of material, following what befits each member: whether one needs more than two pulls for repairing certain bones.
Deinde uade cum eo ad partem superiorem a loco fracturae, et stringe minus quam fuit strictura tua, qua strinxisti locum fractum.	Therefore pour the wax into that upper portion of the place where the bone is broken and draw it less tightly than you did when drawing the spot to fixate: as this small amount helps secure a cracked or dislocated joint for healing, but not too much strain.
