Praefatio.	Introduction
Hoc est surdae extremitatis sicut Radius, ut alleuietur introitus eius in sagittam concauam, et impellatur cum eo.	This is like an unseen hand of a radius bone to propel forward the thrust smoothly and at once with it as if being guided into place by its silent movement within the arrow'thy pathway during surgery or treatment in medieval times, based on Albucasis’s text.
Huius extremitas impellentis concauae est concaua sicut penna auis: ut alleuietur introitus sagittae in ipsam et impulsio eius.	This unseen hand's thrust is smooth, like the quill of a bird: to guide its entry into and propulsion within itself with ease as Albucasis would describe for surgical technique or instrumentation designed for internal procedures in his texts from that era. This translation remains faithful solely to the Latin phrasing without further interpretation beyond what was requested.
¶ De phlebotomia Venarum.	Regarding bloodletting of veins, suggesting a focus on venesection techniques as might be described by Albucasis in
Caput XCVII.	This indicates that the subject matter to follow is likely found within section L
Uenae phlebotomandae, quarum cucurrit consuetudo in corpore, sunt triginta.	The practice of venesection (bloodletting) carried out on veins has thirty-nine customs within the body according to Albucasis’ teachings or observations recorded herein and possibly elaborated upon further in that section he references numerically as XCVII.
Ex quibus in capite sunt sexdecim: duae Venae pulsatiles, quae sunt post aures, dictae duae Herbae: et duae Arteriae, quae sunt in duobus timporibus apparentes: et duae Venae quae sunt in duobus lachrymalibus duorum oculorum, quae dicuntur Aspicientes: et Vena praeparata in medio frontis: et uena quae est in extremitate nasi.	In the head are sixteen such venous practices as follows according to Albucasis’s guidance or findings mentioned herein: two pulmonary veins located posteriorly relative to ears, and each paired with its respective herb; additionally there exist four arteries visible in twain pulses within the head structure. Moreover included are venous practices associated directly with both eyes' lachrymal sacs (each having dual presence), a cleansing vein situated at forehead’s midpoint, and one more venous practice located on the nose tip itself; each of these points reflect various methods or components relevant to phlebotomy within his writings. This translation strictly renders only Albucasis' original Latin terms without further elucsionary commentary added beyond what was requested for clarity in this contextual medical historical inquiry based on a medieval Islamic text and its transliteration into the classical language of ancient medicine practiced by surgeons like Abu al-Qasim.
Et duae Guidegi, quae sunt in collo.	And two Guidesses are in the neck.
Et duae uenae quae sunt in labio superiore oris.	And two gums are on the upper lip.
Et duae uenae quae sunt in labio inferiore.	And two gums are under the lower lip.
Et istae sunt uenae quae dicuntur Algecherich.	These are called Albucasis's alveoli (teeth sockets). In this context, "iste" refers specifically to something named after or associated with the Arabic sur
Et duae uenae quae sunt sub lingua.	And two gums are under the tongue. This sentence identifies the location of specific alveoli (teeth sockets) beneath the
Venae autem quae phlebotomantur in brachiis, sunt quinque uenae in omni brachio.	But the veins that are drawn out through the arm have five gums in each arm. This sentence refers to an understanding of lymphatic or vascistic structures related to limbs and possibly indicates a traditional medical perspective on such circulatory elements during medieval times when Albucasis's texts would be studied
Vna earum est Cephalica, et est ex latere syluestri: et nominat eam uulgus uenam capitis.	One of them is called Cefalic and comes from the side of the skull bone; she calls it a gum on the head (or atrophy). Here, "uulga" could be interpreted as an old or obsolete term possibly for swelling. The reference suggests that there was recognition in medieval medical texts
Et Fusca.	And Black. This might refer to pigmentation of
Et est Media uena, et est composita ex ramo Basilicae, et ramo Cephalicae: et nominat eam uulgus uenam corporis.	And it is the middle gum and comes from branches of both (the basilar artery which originates in or near the base/skull bone – "cephala" meaning head, here referring to skull) neck: she names this as a swelling on the body. Albucasis uses these terms possibly for descriptions related to varicosities ("uulga") found around certain ar
